SMILES,mol,MolWt,MolLogP,BertzCT,TPSA,MolMR,FractionCSP3,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeteroatoms,HeavyAtomCount,RingCount,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumValenceElectrons,NumAmideBonds,NumBridgeheadAtoms,NumSpiroAtoms,qed,SA
Cc1ncc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cnc(OC2CCOCC2)c(N2CCOCC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a490>,542.5580000000003,5.117520000000005,1322.4005915547627,85.81,139.10319999999987,0.39285714285714285,1,7,6,11,39,5,2,3,2,206,1,0,0,0.4630128617752528,2.8667791880932754
O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a530>,447.8440000000001,5.5511000000000035,1133.8353129008638,65.46,112.62600000000003,0.18181818181818182,2,4,4,9,31,4,1,3,0,160,0,0,0,0.5485538927162357,2.570094685034757
CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4)cc23)CC[C@]1(C)N,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a580>,377.4920000000002,3.4181000000000017,1035.7666609101263,98.43999999999998,112.16400000000004,0.36363636363636365,3,5,4,6,28,4,1,3,1,146,1,0,0,0.6486698439657673,3.59313756599048
CN1CCN(Cc2ccc(NC(=O)CCSc3ccc4c(/C=C/c5ccccn5)n[nH]c4c3)cc2C(F)(F)F)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a5d0>,580.6800000000001,6.015400000000005,1513.942597309408,77.15,157.4473999999997,0.3,2,6,9,11,41,5,1,4,1,214,1,0,0,0.23613379380027638,2.938791310984845
CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(CN2CCCC(NC(=O)CCCN)C2)c(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a620>,637.5520000000002,4.5553000000000035,1373.0602885194658,121.60000000000001,151.53309999999985,0.48148148148148145,3,6,11,14,41,3,1,2,1,226,2,0,0,0.33256624551163066,3.3456184063966603
CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(CN2CCCC(C(=O)NC3CCNCC3)C2)c(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a670>,663.5900000000001,4.816000000000004,1449.9353717201207,107.61000000000001,158.83839999999975,0.5172413793103449,3,6,9,14,43,4,2,2,2,236,2,0,0,0.3556765027600402,3.440903223287762
CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CCCCC2NC(=O)C(C)N)c(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a6c0>,589.0800000000005,3.857800000000002,1318.766349979265,121.60000000000001,141.63409999999996,0.46153846153846156,3,6,9,13,39,3,1,2,1,214,2,0,0,0.4090076415010809,3.5998432926999318
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a710>,586.6480000000004,5.3977000000000075,2219.039316389295,97.96,166.37949999999967,0.2571428571428571,2,7,3,9,44,9,3,6,1,220,2,2,0,0.28962403032109235,5.188138937045856
COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a760>,448.5310000000003,1.5786,1213.4107296604172,114.43,126.14660000000005,0.391304347826087,2,9,5,10,33,5,2,3,1,172,1,0,0,0.6047142968160637,2.7542655953162853
CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cccc(CN4CCN(C)CC4)c3)ccc21,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a7b0>,456.5940000000003,3.600000000000003,1142.8670739010556,64.60000000000001,135.10819999999995,0.37037037037037035,1,6,5,7,34,5,2,3,1,176,1,0,0,0.6330014991284512,3.040235212293423
CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(C#N)c(CN2CCNCC2)c(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a800>,528.9840000000004,3.359280000000002,1253.878547964624,102.3,124.65470000000005,0.391304347826087,2,6,7,12,35,3,1,2,1,188,1,0,0,0.5711927525504898,2.890453485866251
CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CCN(C(C)C)CC2)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a850>,512.5030000000004,4.243000000000004,1098.1284441826836,69.72,133.78699999999998,0.4583333333333333,1,5,8,9,33,3,1,2,1,180,1,0,0,0.5732025069605609,2.409001146835145
CCN(c1cncnc1)C1Cc2ccc(C(=O)Nc3cc(-n4cnc(C)c4)cc(C(F)(F)F)c3)cc2C1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a8a0>,506.53200000000015,5.235520000000005,1433.8346680161417,75.94,133.94619999999995,0.25925925925925924,1,6,6,10,37,5,1,4,0,190,1,0,0,0.3874090535946356,3.440075839714881
CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(C2CC2)c(CN2CCN(C)CC2)c(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a8f0>,558.0660000000005,4.707200000000005,1271.80359397136,69.72,136.54199999999994,0.5,1,5,8,11,37,4,2,2,2,202,1,0,0,0.5091278451754241,2.797381560004311
CCS(=O)(=O)c1ccc(Cl)cc1NNC(=O)c1nc(-c2ccccc2)oc1C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a940>,473.8600000000002,4.564300000000002,1211.8811061576791,101.30000000000001,107.2087,0.15789473684210525,2,6,6,12,31,3,0,3,0,164,1,0,0,0.5086883922323431,2.605497549756244
Cc1ccc([C@H](C)Nc2nc3cc(F)ccc3o2)cc1NC(=O)c1cnc2ccccn12,<rdkit.Chem.rdchem.Mol object at 0x7fff6078a990>,429.4550000000001,5.3484200000000035,1455.6265298243336,84.46,120.32890000000002,0.125,2,6,5,8,32,5,0,5,0,160,1,0,0,0.393518703762354,3.0516781912417166
