baid,acvalue,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,activity,protacxn,acname,acqualifier,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxids
70868681,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70869002,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70869323,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70869644,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70869965,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70870286,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70870607,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70870928,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70871249,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
70871570,,1982,48409448,2858522,780,,Other,20110103,0,0,Inactive,NP_001945,,,Burnham Center for Chemical Genomics,Kinase inhibition selectivity assay for compound SID-48409448,"1-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-[2-(3-hydroxypropylamino)-5,6-dimethylbenzimidazol-1-yl]ethanone;hydrobromide",DDR1 - discoidin domain receptor tyrosine kinase 1 (human),/gene/780,2.7.10.1,Q08345,
