Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
ATEFPOUAMCWAQS-UHFFFAOYNA-N,CHEMBL244948,1956,A,5.12,chembl20,473565,9606,EGFR,1260,C=1C(O)=C(C=2OC(C=CC2C1)=O)O
UXZFQZANDVDGMM-UHFFFAOYNA-N,3728,1956,A,5.72377,pubchem,625184,9606,EGFR,1260,IC1=C2C(N=CC=C2)=C(O)C(I)=C1
FOTCGZPFSUWZBN-UHFFFAOYNA-N,CHEMBL154580,1956,A,5.0,chembl20,67204,9606,EGFR,1260,C1(=CC2=CC=CC=C2C=C1)C(C=C)=O
HLHLPDQKZORUSE-UHFFFAOYNA-N,CHEMBL46946,1956,A,5.15,chembl20,67067,9606,EGFR,1260,C1(=CC(=C(C=C1)O)O)CC=NC=O
LVYAGZPLTVBEOL-UHFFFAOYNA-N,CHEMBL52784,1956,A,7.96,chembl20,66590,9606,EGFR,1260,C1=C(N(C)C)C=CC2=C1N=CN=C2
YAERXMIGDADHGY-UHFFFAOYNA-N,CHEMBL55150,1956,A,6.92,chembl20,66590,9606,EGFR,1260,C=1(C=C2C=NC=NC2=CC1)N(C)C
BGPQZPDDMPLPTQ-XWKXFZRBNA-N,CHEMBL334915,1956,A,5.46,chembl20,63764,9606,EGFR,1260,[C]1=C(C=2C=CC=CC2N1C)C(=O)O
AWGQYDRZMTZRRG-UHFFFAOYNA-N,CHEMBL468975,1956,A,5.25,chembl20,63767,9606,EGFR,1260,C=1C=CC(=CC1)C(=O)C(CN(C)C)=C
CEQLJWDOOOWWJE-UHFFFAOYNA-N,CHEMBL76905,1956,A,5.0,chembl20,66741,9606,EGFR,1260,C(C#N)(C#N)=CC=1C=C(O)C=C(C1)O
CYXKNKQEMFBLER-UHFFFAOYNA-N,CHEMBL75880,1956,A,5.83,chembl20,774682,9606,EGFR,1260,C(CC1NCCCC1)(C2CCCCC2)C3CCCCC3
IIIJQZOSLLAVTL-NDKGDYFDNA-N,CHEMBL1995172,1956,A,5.0,chembl20,809214,9606,EGFR,1260,BrC=1C=C2C=3NN=CC3CC2=CC1
LLJASJHXECDHOM-ONEGZZNKNA-N,CHEMBL78224,1956,A,5.06,chembl20,66717,9606,EGFR,1260,C=1(C(O)=CC=C(/C=C/N(=O)=O)C1)O
OHXYWSIWHXTWCT-XWKXFZRBNA-N,CHEMBL137422,1956,A,5.51,chembl20,66739,9606,EGFR,1260,C1=C(C=2C=CC=CC2N1C)C(=O)NC
OIONKPQWESHVLU-UHFFFAOYNA-N,5328753,1956,A,6.30103,pubchem,162571,9606,EGFR,1260,OC1=CC2=CCC(=C2C=C1O)C(C#N)C#N
QKLKMSSJIUYOIB-GIMVELNWNA-N,CHEMBL368891,1956,A,5.0,chembl20,493905,9606,EGFR,1260,N=1C=NC2=NN3C(=C2C1N)C=CC=C3
QNZJDYVERIAXAI-YHMJCDSINA-N,CHEMBL1992323,1956,A,5.7,chembl20,809214,9606,EGFR,1260,ClC=1C=C2C=3N=CN=C(O)C3OC2=CC1
YBDCAUXWUWSRAB-UHFFFAOYNA-N,CHEMBL47986,1956,A,5.7,chembl20,64454,9606,EGFR,1260,C=1(C(=CC=C(C1)O)O)CC=NC=O
