SMILES,mol,MolWt,MolLogP,BertzCT,TPSA,MolMR,FractionCSP3,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeteroatoms,HeavyAtomCount,RingCount,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumValenceElectrons,NumAmideBonds,NumBridgeheadAtoms,NumSpiroAtoms,qed,SA
O=c1ccc2ccc(O)c(O)c2o1,<rdkit.Chem.rdchem.Mol object at 0x7fff5feff3f0>,178.14299999999997,1.2041999999999997,512.4938955031992,70.67,45.81360000000001,0.0,2,4,0,4,13,2,0,2,0,66,0,0,0,0.4694123017659755,2.3574128269319026
Oc1c(I)cc(I)c2cccnc12,<rdkit.Chem.rdchem.Mol object at 0x7fff5feff670>,396.95300000000003,3.1496000000000013,470.3665095200525,33.120000000000005,68.8418,0.0,1,2,0,4,13,2,0,2,0,66,0,0,0,0.6937765865040759,2.672639750008827
C=CC(=O)c1ccc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef9580>,182.22199999999998,3.2085000000000017,497.3166518186401,17.07,58.47550000000003,0.0,0,1,2,1,14,2,0,2,0,68,0,0,0,0.5145232399883984,1.8177163549229078
O=CN=CCc1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef93f0>,179.175,0.8674999999999999,333.63174096903674,69.89,48.031600000000026,0.1111111111111111,2,3,3,4,13,1,0,1,0,68,1,0,0,0.4105735697602646,3.0279897500088264
CN(C)c1ccc2cncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef9620>,173.219,1.6957999999999998,423.19430158040865,29.020000000000003,53.86500000000003,0.2,0,3,1,3,13,2,0,2,0,66,0,0,0,0.656822699677346,2.18525513462421
CN(C)c1ccc2ncncc2c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef9990>,173.21899999999997,1.6957999999999998,423.19430158040865,29.020000000000003,53.86500000000003,0.2,0,3,1,3,13,2,0,2,0,66,0,0,0,0.656822699677346,2.1294962988653747
Cn1[c]c(C(=O)O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef9170>,174.17899999999997,1.6766899999999998,470.7295233824124,42.230000000000004,48.714300000000016,0.1,1,2,1,3,13,2,0,2,0,65,0,0,0,0.7141668845908724,3.3537743653934413
C=C(CN(C)C)C(=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef9300>,189.258,1.9870999999999999,327.4347828061791,20.310000000000002,58.46650000000004,0.25,0,2,4,2,14,1,0,1,0,74,0,0,0,0.5329925638187284,2.1108024480403156
N#CC(C#N)=Cc1cc(O)cc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef99e0>,186.17,1.52836,427.74083436384575,88.04,48.97460000000002,0.0,2,4,1,4,14,1,0,1,0,68,0,0,0,0.6506579026520011,2.7980235006718956
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef9210>,277.496,5.295400000000005,238.93981477754497,12.03,86.89870000000008,1.0,1,1,4,1,20,3,3,0,3,116,0,0,0,0.7354070672581983,2.9968373278492564
Brc1ccc2c(c1)-c1[nH]ncc1C2,<rdkit.Chem.rdchem.Mol object at 0x7fff5fef9120>,235.08399999999997,2.7434000000000003,473.52702681059003,28.68,54.52970000000001,0.1,1,1,0,3,13,3,1,2,0,64,0,0,0,0.6371699295071813,2.6087616123570054
O=[N+]([O-])/C=C/c1ccc(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5e6748a0>,181.147,1.3451999999999997,359.1617012629048,83.60000000000001,45.80000000000002,0.0,2,4,2,5,13,1,0,1,0,68,0,0,0,0.40938543754451584,2.468298211547287
CNC(=O)c1cn(C)c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7fff5e674d50>,188.23000000000002,1.5378999999999998,484.9932303868225,34.03,56.30920000000002,0.18181818181818182,1,2,1,3,14,2,0,2,0,72,1,0,0,0.7232559998618573,1.8342604673489422
N#CC(C#N)C1=c2cc(O)c(O)cc2=CC1,<rdkit.Chem.rdchem.Mol object at 0x7fff5e674d00>,212.208,0.09606000000000003,633.312163045005,88.04,56.22760000000002,0.16666666666666666,2,4,1,4,16,2,1,1,0,78,0,0,0,0.6458571162093867,3.8492788949287524
Nc1ncnc2nn3ccccc3c12,<rdkit.Chem.rdchem.Mol object at 0x7fff5e674da0>,185.19,0.8596999999999998,612.7013871517554,69.1,52.700400000000016,0.0,1,5,0,5,14,3,0,3,0,68,0,0,0,0.5635685912849254,2.7313432498572414
Oc1ncnc2c1oc1ccc(Cl)cc12,<rdkit.Chem.rdchem.Mol object at 0x7fff5ff11da0>,220.615,2.735000000000001,662.8758602381268,59.150000000000006,55.984800000000014,0.0,1,4,0,5,15,3,0,3,0,74,0,0,0,0.6329087829710289,2.5026654980525755
O=CN=CCc1cc(O)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7fff5ff11df0>,179.175,0.8674999999999999,333.6317409690368,69.89,48.031600000000026,0.1111111111111111,2,3,3,4,13,1,0,1,0,68,1,0,0,0.4105735697602646,3.123670519239596
COc1cc(/C=C/[N+](=O)[O-])ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7fff5ff11e40>,195.174,1.6481999999999999,373.0747455887143,72.60000000000001,50.68720000000002,0.1111111111111111,1,4,3,5,14,1,0,1,0,74,0,0,0,0.5874494348659687,2.2677085209148107
N#CC(C#N)C1C=Cc2c1ccc(O)c2O,<rdkit.Chem.rdchem.Mol object at 0x7fff5ff11e90>,212.208,1.8715600000000006,535.3627924222401,88.04,56.26260000000002,0.16666666666666666,2,4,1,4,16,2,1,1,0,78,0,0,0,0.6953041039810127,4.044183014799159
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5ff11ee0>,202.16899999999998,1.2339599999999997,467.37439039710307,108.27000000000001,50.639400000000016,0.0,3,5,1,5,15,1,0,1,0,74,0,0,0,0.4684715560327487,2.8505658111116094
C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7fff5ff11f30>,195.17399999999998,1.7353000000000003,397.7984696519949,83.6,50.417000000000016,0.1111111111111111,2,4,2,5,14,1,0,1,0,74,0,0,0,0.42732001426472305,2.5214556376671897
O=C1c2ccccc2-c2n[nH]c3cccc1c23,<rdkit.Chem.rdchem.Mol object at 0x7fff5ff11f80>,220.231,2.774300000000001,770.743187448098,45.75,64.96220000000001,0.0,1,2,0,3,17,4,1,3,0,80,0,0,0,0.4949511667218594,2.1267822741482476
Brc1cccc(Oc2ncnc3ccccc23)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff5e576030>,301.14300000000003,4.184600000000002,694.6986061607918,35.010000000000005,73.75400000000002,0.0,0,3,2,4,18,3,0,3,0,88,0,0,0,0.7117958686621959,1.890669707559404
Nc1noc2cccc(-c3cccc(O)c3)c12,<rdkit.Chem.rdchem.Mol object at 0x7fff5e576080>,226.23499999999999,2.7826000000000004,688.7022523288842,72.28,65.52220000000001,0.0,2,4,1,4,17,3,0,3,0,84,0,0,0,0.6687861255437798,2.2365519821545288
Oc1ncnc2c1sc1c(Cl)ccc(Cl)c12,<rdkit.Chem.rdchem.Mol object at 0x7fff5e5760d0>,271.128,3.8569000000000004,710.668169637093,46.010000000000005,66.60580000000002,0.0,1,4,0,6,16,3,0,3,0,80,0,0,0,0.6749321215160762,2.9122807830406394
O=C1NCCc2[nH]c(-c3ccncc3)cc21,<rdkit.Chem.rdchem.Mol object at 0x7fff5e576120>,213.24000000000004,1.3626,530.4518307675356,57.78,60.06090000000002,0.16666666666666666,2,2,1,4,16,3,1,2,0,80,1,0,0,0.7511080462384994,2.539488246215763
COc1cc(C=C(C#N)C#N)cc(O)c1O,<rdkit.Chem.rdchem.Mol object at 0x7fff5e576170>,216.196,1.53696,505.2568171200117,97.27,55.526600000000016,0.09090909090909091,2,5,2,5,16,1,0,1,0,80,0,0,0,0.576774839125465,2.665562786618457
