Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CJAWPFJGFFNXQI-UHFFFAOYNA-N,CHEMBL269521,3350,A,6.1,chembl20,589733,9606,HTR1A,2095,C1=C(N=C(C=N1)N2CCNCC2)Cl
NCIKQJBVUNUXLW-UHFFFAOYNA-N,6088,3350,A,5.29243,pubchem,718,9606,HTR1A,2095,N1C=2C(C(CCNC)=C1)=CC=CC2
ONJJIEKDZQAGJP-UHFFFAOYNA-N,CHEMBL158285,3350,A,7.43,chembl20,912,9606,HTR1A,2095,C=1C(=NC(SCCN(C)C)=CC1)Br
QZAYGJVTTNCVMB-UHFFFAOYNA-N,5202,3350,A,9.30103,pubchem,259335,9606,HTR1A,2095,OC1=CC=2C(CCN)=CNC2C=C1
QSQQQURBVYWZKJ-UHFFFAOYNA-N,CHEMBL30713,3350,A,5.5,chembl20,965138,9606,HTR1A,2095,C1(=CNC2=C1C=CC=C2)CC(N)C
VHFVKMTVMIZMIK-UHFFFAOYNA-N,CHEMBL478,3350,A,7.0,chembl20,589733,9606,HTR1A,2095,N1(CCNCC1)C=2C=C(C=CC2)Cl
ZKIORVIXEWIOGB-UHFFFAOYNA-N,197774,3350,A,5.65384,pubchem,718,9606,HTR1A,2095,FC=1C=C2C(CCN)=CNC2=CC1
OSPHUVJGYFZGRF-UHFFFAOYNA-N,CHEMBL161203,3350,A,5.66,chembl20,912,9606,HTR1A,2095,N=1C(=CSC1SCCN(C)C)C(C)(C)C
BGMZUEKZENQUJY-UHFFFAOYNA-N,CHEMBL6616,3350,A,5.3,chembl20,589733,9606,HTR1A,2095,C=1(OC)C(=CC(=C(C1)I)OC)CC(N)C
CRBUBLCOTKWRPR-UHFFFAOYNA-N,10353268,3350,A,6.54212,pubchem,3590,9606,HTR1A,2095,O1C2=C(C=3C(CCN)=CNC3C=C2)CCC1
DMULVCHRPCFFGV-UHFFFAOYNA-N,CHEMBL12420,3350,A,6.39,chembl20,503268,9606,HTR1A,2095,N1C=2C(C(=C1)CCN(C)C)=CC=CC2
DWIXBLOYUJIYNT-DXMPFREMNA-N,CHEMBL273170,3350,A,6.74,chembl20,463650,9606,HTR1A,2095,C1(=CC=C2N=C(NC(C2=C1Cl)C)N)Cl
DWIXBLOYUJIYNT-RWJRRMEYNA-N,16093484,3350,A,6.74232,pubchem,315624,9606,HTR1A,2095,ClC=1C=2C(N=C(NC2C=CC1Cl)N)C
