SMILES,mol,MolWt,MolLogP,BertzCT,TPSA,MolMR,FractionCSP3,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeteroatoms,HeavyAtomCount,RingCount,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumValenceElectrons,NumAmideBonds,NumBridgeheadAtoms,NumSpiroAtoms,qed,SA
Clc1cncc(N2CCNCC2)n1,<rdkit.Chem.rdchem.Mol object at 0x7fff607a6030>,198.65699999999998,0.5395999999999999,285.22744510223606,41.050000000000004,52.12470000000002,0.5,1,4,1,5,13,2,1,1,1,70,0,0,0,0.7154396244674613,2.4886680900897975
CNCCc1c[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7fff607a6120>,174.24699999999999,1.9298,389.6445384300239,27.82,55.92940000000003,0.2727272727272727,2,1,3,2,13,2,0,2,0,68,0,0,0,0.7307709500369286,1.8491907621545742
CN(C)CCSc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x7fff607a60d0>,261.188,2.4978000000000007,265.54654375486354,16.130000000000003,61.21500000000003,0.4444444444444444,0,3,4,4,13,1,0,1,0,72,0,0,0,0.6116431353480258,2.541132057701134
NCCc1c[nH]c2ccc(O)cc12,<rdkit.Chem.rdchem.Mol object at 0x7fff607a6170>,176.21899999999997,1.3747,419.7820090914246,62.040000000000006,52.721900000000026,0.2,3,2,2,3,13,2,0,2,0,68,0,0,0,0.6468452624532928,2.1299790431481203
CC(N)Cc1c[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7fff607a61c0>,174.24699999999999,2.0576,401.13741294975756,41.81,55.65210000000002,0.2727272727272727,2,1,2,2,13,2,0,2,0,68,0,0,0,0.7185527164618343,2.2738259810113455
Clc1cccc(N2CCNCC2)c1,<rdkit.Chem.rdchem.Mol object at 0x7fff607a6210>,196.68099999999998,1.7495999999999998,282.00816415336243,15.27,56.53470000000003,0.4,1,2,1,3,13,2,1,1,1,70,0,0,0,0.736534949218909,1.8037170779440483
NCCc1c[nH]c2ccc(F)cc12,<rdkit.Chem.rdchem.Mol object at 0x7fff607a6260>,178.20999999999995,1.8082,419.7820090914246,41.81,51.01510000000002,0.2,2,1,2,3,13,2,0,2,0,68,0,0,0,0.7230888893651737,2.0096709350400115
CN(C)CCSc1nc(C(C)(C)C)cs1,<rdkit.Chem.rdchem.Mol object at 0x7fff607a62b0>,244.429,3.0943000000000014,299.7817204366235,16.130000000000003,70.09200000000004,0.7272727272727273,0,4,4,4,15,1,0,1,0,86,0,0,0,0.7572430693274486,2.595831195726994
COc1cc(CC(C)N)c(OC)cc1I,<rdkit.Chem.rdchem.Mol object at 0x7fff607a6300>,321.158,2.1981,339.6049607753009,44.480000000000004,69.61640000000003,0.45454545454545453,1,3,4,4,15,1,0,1,0,84,0,0,0,0.8649335012315389,2.6993554204925054
NCCc1c[nH]c2ccc3c(c12)CCCO3,<rdkit.Chem.rdchem.Mol object at 0x7fff607a6350>,216.2839999999999,1.9941,515.8721055570145,51.040000000000006,64.87310000000002,0.38461538461538464,2,2,2,3,16,3,1,2,0,84,0,0,0,0.8062610450090923,2.551773025266499
CN(C)CCc1c[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7fff607a63a0>,188.274,2.2720000000000002,414.93388010678007,19.03,60.556700000000035,0.3333333333333333,1,1,3,2,14,2,0,2,0,74,0,0,0,0.7825429105598993,1.8247052010767533
